data_source,ticker,name,category,mer,benchmark,latest_nav,as_of,volatility,max_drawdown,current_drawdown,sharpe,sortino,positive_months,history_years,return_1w,return_1m,return_3m,return_6m,return_1y,return_ytd,return_3y_annualized,return_5y_annualized,return_10y_annualized,momentum_score,risk_score,cost_score,quality_score,overall_score,signal,category_rank
Yahoo Finance,XRE.TO,iShares S&P TSX Capped REIT Index,REIT,0.61,XRE.TO,17.139999389648438,2026-07-24,17.28765254756578,-46.57692027200879,-2.0571463448660676,0.4019105038409006,0.46104691507939666,58.333333333333336,10.992470910335387,-1.6073518106727636,0.8650583114627519,4.063315102973664,7.045407032530093,12.461953356983857,12.911840255992079,5.794193318013852,1.3753551881199089,4.518904660650436,76.66666666666666,66.66666666666666,49.99999999999999,66.66666666666666,68.16666666666666,High risk,2
Yahoo Finance,VRE.TO,Vanguard FTSE Canadian Capped REIT Index,REIT,0.39,XRE.TO,32.720001220703125,2026-07-24,17.231782133082056,-48.06308045580816,-6.29342163553166,0.38874237984894694,0.4468094954109261,56.060606060606055,10.992470910335387,-3.3953284542298845,0.24838419373311993,1.2704749351397204,-0.5311513629467801,0.5043878201695495,3.4394153844651054,5.284358701842251,0.7810839708529915,4.185314514637928,33.33333333333333,46.66666666666666,100.0,44.99999999999999,49.16666666666666,High risk,3
Yahoo Finance,TEC.TO,TD Global Technology Leaders Index,Technology,0.39,TEC.TO,58.70000076293945,2026-07-24,23.822883602284016,-35.3075492009882,-6.781007424150709,0.9349399871189644,1.2784113224673948,63.95348837209303,7.208761122518823,-0.9115477721595489,-1.9869738501194,6.100316228573477,11.364070921092729,22.434566342139295,10.985066062277449,26.958321944439277,15.706768304140862,,100.0,86.66666666666667,66.66666666666669,54.99999999999999,85.83333333333333,Strong trend,1
Yahoo Finance,ZQQ.TO,BMO NASDAQ 100 Equity Hedged to CAD,Technology,0.39,TEC.TO,192.1999969482422,2026-07-24,22.37708183161151,-36.38673785286446,-7.4181159453312056,0.8165945296431012,1.0417136614252716,64.39393939393939,10.992470910335387,-0.6307523690686323,-2.6145133999552317,3.9593205712372903,9.929078571245299,16.424736318612144,11.582001131054964,19.703053719505604,11.50588779111288,18.39564010965331,43.33333333333333,66.66666666666666,66.66666666666669,94.16666666666667,60.08333333333333,Strong trend,2
Yahoo Finance,XQQ.TO,iShares NASDAQ 100 Index CAD Hedged,Technology,0.39,TEC.TO,69.23999786376953,2026-07-24,22.317710400790926,-38.54955809948129,-7.376543817824366,0.8086142792436396,1.0321953336777325,62.878787878787875,10.992470910335387,-0.5029436593467995,-2.585898576436063,3.991195709827844,9.928847570228982,17.6712097511996,11.556633851704223,20.115649914350264,10.97464490580129,18.15959516397534,56.666666666666664,46.66666666666666,66.66666666666669,50.83333333333333,54.083333333333336,Strong trend,3
Yahoo Finance,ZSP.TO,BMO S&P 500 Index,US Equity,0.09,VFV.TO,114.22000122070312,2026-07-24,16.25395331753235,-26.941011558462925,-2.6838216342894627,0.9220645350479463,1.161408902767549,66.66666666666666,10.992470910335387,-0.13988113005489744,-0.35214440942628045,6.768219435681244,10.624657647210878,20.923822658074066,11.289970439966158,21.39359462088799,14.693592090446096,15.308767309859416,42.0,100.0,60.0,79.5,68.75,Strong trend,1
Yahoo Finance,XUS.TO,iShares Core S&P 500 Index,US Equity,0.09,VFV.TO,64.44000244140625,2026-07-24,16.391817620692954,-27.226920692285617,-2.6586020966314683,0.9149624179215401,1.1466489235170454,66.66666666666666,10.992470910335387,-0.1704114719612959,-0.2939731085965236,6.800835563018759,10.617761249837109,21.223829237081617,11.341251798804874,21.51037990625364,14.736676617356581,15.309951131629497,58.0,69.0,60.0,79.5,64.3,Strong trend,2
Yahoo Finance,VFV.TO,Vanguard S&P 500 Index,US Equity,0.09,VFV.TO,184.97999572753906,2026-07-24,16.443556845155566,-27.428817438066766,-2.6882006990354146,0.9156765885989788,1.1609930177328671,65.9090909090909,10.992470910335387,-0.14575129417594423,-0.3254448062233628,6.782673632569303,10.58998755425231,21.231472294218445,11.245272498794655,21.533163551417566,14.764968212593942,15.35876726496439,54.0,71.0,60.0,60.0,61.45,Strong trend,3
Yahoo Finance,XUU.TO,iShares Core S&P US Total Market,US Equity,0.07,VFV.TO,76.48999786376953,2026-07-24,16.515338691258535,-28.217269701958525,-2.696861379114235,0.8786860978622146,1.0884964451489814,65.15151515151516,10.992470910335387,-0.16967486054847436,-0.45548996720671253,7.06700999770824,10.815822979360057,21.20273595700981,11.767365685311514,21.08593853799734,13.99431231649666,14.823569486029676,70.0,35.0,100.0,40.5,59.3,Strong trend,4
Yahoo Finance,VUN.TO,Vanguard US Total Market Index,US Equity,0.17,VFV.TO,139.5500030517578,2026-07-24,16.583970511387257,-28.188570153939587,-2.88120211518309,0.8726490638176708,1.084416386776309,65.15151515151516,10.992470910335387,-0.21451772518032985,-0.477461865133022,6.992439966747188,10.623299775379834,21.508455856415786,11.770109834885911,21.05559261228118,13.621692009763953,14.783383423994634,76.0,25.0,20.0,40.5,46.2,Strong trend,5
